city,month,last_available_deaths
Abadia de Goiás,2020-07-01,12
Abadia de Goiás,2020-08-01,61
Abadia de Goiás,2020-09-01,181
Abadia de Goiás,2020-10-01,217
Abadia de Goiás,2020-11-01,210
Abadia de Goiás,2020-12-01,234
Abadia de Goiás,2021-01-01,288
Abadia de Goiás,2021-02-01,322
Abadia de Goiás,2021-03-01,471
Abadia de Goiás,2021-04-01,614
Abadia de Goiás,2021-05-01,839
Abadia de Goiás,2021-06-01,972
Abadia de Goiás,2021-07-01,1113
Abadia de Goiás,2021-08-01,1147
Abadia de Goiás,2021-09-01,1113
Abadia de Goiás,2021-10-01,1256
Abadia de Goiás,2021-11-01,1309
Abadia de Goiás,2021-12-01,1364
Abadia de Goiás,2022-01-01,1364
Abadia de Goiás,2022-02-01,1232
Abadia de Goiás,2022-03-01,1188
Abadia dos Dourados,2020-07-01,7
Abadia dos Dourados,2020-08-01,31
Abadia dos Dourados,2020-09-01,30
Abadia dos Dourados,2020-10-01,31
Abadia dos Dourados,2020-11-01,30
Abadia dos Dourados,2020-12-01,31
Abadia dos Dourados,2021-01-01,31
Abadia dos Dourados,2021-02-01,57
Abadia dos Dourados,2021-03-01,240
Abadia dos Dourados,2021-04-01,356
Abadia dos Dourados,2021-05-01,401
Abadia dos Dourados,2021-06-01,420
Abadia dos Dourados,2021-07-01,434
Abadia dos Dourados,2021-08-01,434
Abadia dos Dourados,2021-09-01,504
Abadia dos Dourados,2021-10-01,527
Abadia dos Dourados,2021-11-01,510
Abadia dos Dourados,2021-12-01,527
Abadia dos Dourados,2022-01-01,527
Abadia dos Dourados,2022-02-01,476
Abadia dos Dourados,2022-03-01,459
Abadiânia,2020-06-01,5
Abadiânia,2020-07-01,142
Abadiânia,2020-08-01,240
Abadiânia,2020-09-01,265
Abadiânia,2020-10-01,366
Abadiânia,2020-11-01,370
Abadiânia,2020-12-01,389
Abadiânia,2021-01-01,433
Abadiânia,2021-02-01,475
Abadiânia,2021-03-01,573
Abadiânia,2021-04-01,707
Abadiânia,2021-05-01,835
Abadiânia,2021-06-01,921
