city,month,last_available_deaths
Belo Horizonte,2020-03-01,3
Belo Horizonte,2020-04-01,227
Belo Horizonte,2020-05-01,1002
Belo Horizonte,2020-06-01,2420
Belo Horizonte,2020-07-01,9868
Belo Horizonte,2020-08-01,23583
Belo Horizonte,2020-09-01,33725
Belo Horizonte,2020-10-01,42596
Belo Horizonte,2020-11-01,46895
Belo Horizonte,2020-12-01,54418
Belo Horizonte,2021-01-01,63177
Belo Horizonte,2021-02-01,70331
Belo Horizonte,2021-03-01,91134
Belo Horizonte,2021-04-01,107705
Belo Horizonte,2021-05-01,145082
Belo Horizonte,2021-06-01,161531
Belo Horizonte,2021-07-01,171833
Belo Horizonte,2021-08-01,171833
Belo Horizonte,2021-09-01,195455
Belo Horizonte,2021-10-01,205716
Belo Horizonte,2021-11-01,199080
Belo Horizonte,2021-12-01,205716
Belo Horizonte,2022-01-01,205716
Belo Horizonte,2022-02-01,185808
Belo Horizonte,2022-03-01,179172
Brasília,2020-03-01,6
Brasília,2020-04-01,552
Brasília,2020-05-01,2175
Brasília,2020-06-01,9634
Brasília,2020-07-01,28942
Brasília,2020-08-01,57021
Brasília,2020-09-01,81241
Brasília,2020-10-01,99920
Brasília,2020-11-01,105321
Brasília,2020-12-01,116686
Brasília,2021-01-01,125058
Brasília,2021-02-01,119883
Brasília,2021-03-01,149238
Brasília,2021-04-01,193502
Brasília,2021-05-01,235391
Brasília,2021-06-01,246807
Brasília,2021-07-01,267673
Brasília,2021-08-01,278703
Brasília,2021-09-01,281026
Brasília,2021-10-01,302397
Brasília,2021-11-01,300381
Brasília,2021-12-01,313575
Brasília,2022-01-01,315316
Brasília,2022-02-01,288751
Brasília,2022-03-01,279801
Recife,2020-03-01,22
Recife,2020-04-01,2614
Recife,2020-05-01,18959
Recife,2020-06-01,44984
Recife,2020-07-01,62008
Recife,2020-08-01,68555
Recife,2020-09-01,70221
Recife,2020-10-01,75249
Recife,2020-11-01,75002
Recife,2020-12-01,81117
Recife,2021-01-01,86831
Recife,2021-02-01,83642
Recife,2021-03-01,99194
Recife,2021-04-01,106903
Recife,2021-05-01,125302
Recife,2021-06-01,134819
Recife,2021-07-01,150627
Recife,2021-08-01,160801
Recife,2021-09-01,160840
Recife,2021-10-01,170033
Recife,2021-11-01,165150
Recife,2021-12-01,170655
Recife,2022-01-01,170655
Recife,2022-02-01,154140
Recife,2022-03-01,148635
Rio de Janeiro,2020-03-01,74
Rio de Janeiro,2020-04-01,6195
Rio de Janeiro,2020-05-01,58107
Rio de Janeiro,2020-06-01,157099
Rio de Janeiro,2020-07-01,233045
Rio de Janeiro,2020-08-01,277339
Rio de Janeiro,2020-09-01,309412
Rio de Janeiro,2020-10-01,358605
Rio de Janeiro,2020-11-01,379590
Rio de Janeiro,2020-12-01,436527
Rio de Janeiro,2021-01-01,496895
Rio de Janeiro,2021-02-01,506051
Rio de Janeiro,2021-03-01,605761
Rio de Janeiro,2021-04-01,666948
Rio de Janeiro,2021-05-01,783300
Rio de Janeiro,2021-06-01,827330
Rio de Janeiro,2021-07-01,913445
Rio de Janeiro,2021-08-01,966422
Rio de Janeiro,2021-09-01,980233
Rio de Janeiro,2021-10-01,1056191
Rio de Janeiro,2021-11-01,1023060
Rio de Janeiro,2021-12-01,1057162
Rio de Janeiro,2022-01-01,1057162
Rio de Janeiro,2022-02-01,954856
Rio de Janeiro,2022-03-01,920754
São Paulo,2020-03-01,561
São Paulo,2020-04-01,19458
São Paulo,2020-05-01,87297
São Paulo,2020-06-01,173962
São Paulo,2020-07-01,263253
São Paulo,2020-08-01,327434
São Paulo,2020-09-01,364401
São Paulo,2020-10-01,409826
São Paulo,2020-11-01,419167
São Paulo,2020-12-01,467641
São Paulo,2021-01-01,511532
São Paulo,2021-02-01,504494
São Paulo,2021-03-01,620309
São Paulo,2021-04-01,749828
São Paulo,2021-05-01,902500
São Paulo,2021-06-01,963045
São Paulo,2021-07-01,1071378
São Paulo,2021-08-01,1125487
São Paulo,2021-09-01,1128962
São Paulo,2021-10-01,1194127
São Paulo,2021-11-01,1169324
São Paulo,2021-12-01,1218942
São Paulo,2022-01-01,1219912
São Paulo,2022-02-01,1101856
São Paulo,2022-03-01,1062504
